index,id_lu_1,word_1,pos_1,fnDefinition_1,relation,id_lu_2,word_2,pos_2,fnDefinition_2
31,15669,combination,noun,A collection consisting of more than one distinct item or set of items.,hypernym,25136,sequence,noun,a temporal arrangement of entities
32,22255,combination,noun,"a mixture of two or more parts which forms a single, new whole",hypernym,25136,sequence,noun,a temporal arrangement of entities
33,25968,combination,noun,A set of operations or sequence of symbols that can be input into a device to unlock a location or function.,hypernym,25136,sequence,noun,a temporal arrangement of entities
34,12632,partition,noun,the action or state of dividing or being divided into parts.,hypernym,23344,term,noun,a word or phrase used to describe a thing or to express a concept
35,12720,stroke,noun, move one' s hand with gentle pressure over (a surface).,hyponym,12728,caress,noun,a gentle or loving touch.
36,15996,accident,noun,an unexpected unfortunate event.,hyponym,24555,coincidence,noun,a remarkable concurrence of events or circumstances without apparent causal connection.
37,24557,accident,noun,something that happens by chance or without apparent cause.,hyponym,24555,coincidence,noun,a remarkable concurrence of events or circumstances without apparent causal connection.
38,20659,drag,noun,an act of inhaling smoke from a cigarette. ,hyponym,20660,toke,noun,"a pull on a cigarette or pipe, typically one containing cannabis. "
39,20659,drag,noun,an act of inhaling smoke from a cigarette. ,hypernym,18828,inhalation,noun,the act of breathing in.
40,12723,pull,noun,an act of pulling something.,hypernym,15779,device,noun,"a thing made or adapted for a particular purpose, especially a mechanical or electronic contrivance"
41,12728,caress,noun,a gentle or loving touch.,hypernym,12720,stroke,noun, move one' s hand with gentle pressure over (a surface).
42,21586,conduct,noun,the manner in which a person behaves,hypernym,17687,activity,noun,an action taken in pursuit of an objective
43,21588,behavior,noun,the way in which someone behaves,hyponym,21599,manner,noun,a person' s outward bearing or way of behaving towards others.
44,21588,behavior,noun,the way in which someone behaves,hyponym,25536,manner,noun,the way in which an action is conducted by an agent. 
45,21588,behavior,noun,the way in which someone behaves,hypernym,18138,process,noun,a natural series of changes.
46,21588,behavior,noun,the way in which someone behaves,hypernym,21588,behavior,noun,the way in which someone behaves
47,21588,behavior,noun,the way in which someone behaves,hypernym,23596,society,noun,an club formed for a specific activity
48,21591,misbehavior,noun,bad behavior,hyponym,21599,manner,noun,a person' s outward bearing or way of behaving towards others.
49,21591,misbehavior,noun,bad behavior,hyponym,25536,manner,noun,the way in which an action is conducted by an agent. 
50,21591,misbehavior,noun,bad behavior,hypernym,18138,process,noun,a natural series of changes.
51,21591,misbehavior,noun,bad behavior,hypernym,21588,behavior,noun,the way in which someone behaves
52,21591,misbehavior,noun,bad behavior,hypernym,23596,society,noun,an club formed for a specific activity
53,12758,position,noun,a way in which someone or something is placed or arranged.,hypernym,17687,activity,noun,an action taken in pursuit of an objective
54,12758,position,noun,a way in which someone or something is placed or arranged.,hypernym,24487,process,noun,a series of actions or steps towards achieving a particular end.
55,19048,position,noun,a job,hypernym,17687,activity,noun,an action taken in pursuit of an objective
56,19048,position,noun,a job,hypernym,24487,process,noun,a series of actions or steps towards achieving a particular end.
57,25659,position,noun,the location of an entity.,hypernym,17687,activity,noun,an action taken in pursuit of an objective
58,25659,position,noun,the location of an entity.,hypernym,24487,process,noun,a series of actions or steps towards achieving a particular end.
59,17435,place,noun,a particular position or point in space; a location. ,hyponym,16659,left,noun,"the left-hand part, side, or direction. "
60,17435,place,noun,a particular position or point in space; a location. ,hypernym,17442,point,noun,a particular spot or location. 
61,17435,place,noun,a particular position or point in space; a location. ,hyponym,17620,station,noun,building designated for a particular use.
62,17435,place,noun,a particular position or point in space; a location. ,hyponym,25664,station,noun,"where one is assigned to be, especially to guard or protect."
63,17435,place,noun,a particular position or point in space; a location. ,hyponym,25665,post,noun,an assigned location.
64,17435,place,noun,a particular position or point in space; a location. ,hyponym,16662,right,noun,"the right-hand part, side, or direction. "
65,17435,place,noun,a particular position or point in space; a location. ,hyponym,24299,right,noun,a right turn.
66,17435,place,noun,a particular position or point in space; a location. ,hyponym,21030,landmark,noun,of pivotal or decisive importance
67,17435,place,noun,a particular position or point in space; a location. ,hyponym,16642,back,noun,2a the side or part of something away from the spectator or from the direction in which it moves or faces
68,17435,place,noun,a particular position or point in space; a location. ,hyponym,15650,stand,noun,a group of trees or other plants. 
69,17435,place,noun,a particular position or point in space; a location. ,hyponym,16641,front,noun,the side or part of an object that presents itself to view or that is normally seen or used first.
70,12762,awareness,noun,awareness is a derivative of aware,hyponym,13078,sense,noun,a mental recognition of good and bad
71,12762,awareness,noun,awareness is a derivative of aware,hyponym,23717,sense,noun,an opinion held by a cognizer
72,12762,awareness,noun,awareness is a derivative of aware,hyponym,14699,feel,noun,a sensation given by an object or material when touched. 
73,12762,awareness,noun,awareness is a derivative of aware,hypernym,17550,nation,noun,"a large aggregate of people united by common descent, culture, or language, inhabiting a particular state or territory."
74,12762,awareness,noun,awareness is a derivative of aware,hypernym,22768,national,noun,a citizen of a particular country.
75,12765,comprehension,noun,the action or capability of understanding.,hypernym,12783,understanding,noun,the ability to understand something; comprehension
76,12783,understanding,noun,the ability to understand something; comprehension,hyponym,12964,appreciation,noun,"Perceptive recognition of value, significance or qualities."
77,12783,understanding,noun,the ability to understand something; comprehension,hyponym,17313,smattering,noun,a small amount of
78,12783,understanding,noun,the ability to understand something; comprehension,hyponym,12765,comprehension,noun,the action or capability of understanding.
79,12767,conception,noun, the way in which something is perceived,hypernym,23757,beginning,noun,the first part of something.
80,27214,innovation,noun,the action of producing a new idea,hyponym,12943,concoction,noun,the process or result of creating or devising (a story or plan)
81,27214,innovation,noun,the action of producing a new idea,hypernym,27220,creativity,noun,ability to come up with a new idea
82,12775,presumption,noun,an act or instance of presuming something to be the case.,hypernym,12873,inference,noun,a conclusion reached on the basis of evidence and reasoning.
83,13375,conjecture,noun,an opinion or conclusion based on incomplete information. ,hypernym,23707,view,noun,a particular way of regarding something; an attitude or opinion.
84,12781,thought,noun,the process or result of thinking,hyponym,13414,explanation,noun,"the act of explaining, making something clear"
85,12781,thought,noun,the process or result of thinking,hyponym,23748,explanation,noun,a fact that makes a state of affairs understandable
86,12781,thought,noun,the process or result of thinking,hyponym,12847,consideration,noun,careful thought
87,21816,agreement,noun,"a contract by which one party conveys land, property, services, etc. to another for a specified time. ",hyponym,17034,sale,noun,the exchange of a commodity for money; the process of selling something. 
88,21816,agreement,noun,"a contract by which one party conveys land, property, services, etc. to another for a specified time. ",hypernym,13409,statement,noun,a definite or clear expression of something in speech or writing 
89,21816,agreement,noun,"a contract by which one party conveys land, property, services, etc. to another for a specified time. ",hyponym,23504,deal,noun,an agreement entered into by two or more parties for their mutual benefit
90,21816,agreement,noun,"a contract by which one party conveys land, property, services, etc. to another for a specified time. ",hyponym,23624,deal,noun,an agreement entered into by two or more parties for their mutual benefit.
91,21816,agreement,noun,"a contract by which one party conveys land, property, services, etc. to another for a specified time. ",hyponym,21475,conspiracy,noun,a secret plan by a group to do something unlawful or harmful. 
92,21816,agreement,noun,"a contract by which one party conveys land, property, services, etc. to another for a specified time. ",hyponym,25785,reservation,noun,the action of reserving. > an arrangement whereby something has been reserved.
93,23503,agreement,noun,a negotiated and typically legally binding arrangement.,hyponym,17034,sale,noun,the exchange of a commodity for money; the process of selling something. 
94,23503,agreement,noun,a negotiated and typically legally binding arrangement.,hypernym,13409,statement,noun,a definite or clear expression of something in speech or writing 
95,23503,agreement,noun,a negotiated and typically legally binding arrangement.,hyponym,23504,deal,noun,an agreement entered into by two or more parties for their mutual benefit
96,23503,agreement,noun,a negotiated and typically legally binding arrangement.,hyponym,23624,deal,noun,an agreement entered into by two or more parties for their mutual benefit.
97,23503,agreement,noun,a negotiated and typically legally binding arrangement.,hyponym,21475,conspiracy,noun,a secret plan by a group to do something unlawful or harmful. 
98,23503,agreement,noun,a negotiated and typically legally binding arrangement.,hyponym,25785,reservation,noun,the action of reserving. > an arrangement whereby something has been reserved.
99,23623,agreement,noun, negotiated and typically legally binding arrangement.,hyponym,17034,sale,noun,the exchange of a commodity for money; the process of selling something. 
100,23623,agreement,noun, negotiated and typically legally binding arrangement.,hypernym,13409,statement,noun,a definite or clear expression of something in speech or writing 
101,23623,agreement,noun, negotiated and typically legally binding arrangement.,hyponym,23504,deal,noun,an agreement entered into by two or more parties for their mutual benefit
102,23623,agreement,noun, negotiated and typically legally binding arrangement.,hyponym,23624,deal,noun,an agreement entered into by two or more parties for their mutual benefit.
103,23623,agreement,noun, negotiated and typically legally binding arrangement.,hyponym,21475,conspiracy,noun,a secret plan by a group to do something unlawful or harmful. 
104,23623,agreement,noun, negotiated and typically legally binding arrangement.,hyponym,25785,reservation,noun,the action of reserving. > an arrangement whereby something has been reserved.
105,23807,agreement,noun,"accordance in opinion or feeling.
",hyponym,17034,sale,noun,the exchange of a commodity for money; the process of selling something. 
106,23807,agreement,noun,"accordance in opinion or feeling.
",hypernym,13409,statement,noun,a definite or clear expression of something in speech or writing 
107,23807,agreement,noun,"accordance in opinion or feeling.
",hyponym,23504,deal,noun,an agreement entered into by two or more parties for their mutual benefit
108,23807,agreement,noun,"accordance in opinion or feeling.
",hyponym,23624,deal,noun,an agreement entered into by two or more parties for their mutual benefit.
109,23807,agreement,noun,"accordance in opinion or feeling.
",hyponym,21475,conspiracy,noun,a secret plan by a group to do something unlawful or harmful. 
110,23807,agreement,noun,"accordance in opinion or feeling.
",hyponym,25785,reservation,noun,the action of reserving. > an arrangement whereby something has been reserved.
111,12784,ignorance,noun,the state of lacking knowledge or awareness in general.,hypernym,17550,nation,noun,"a large aggregate of people united by common descent, culture, or language, inhabiting a particular state or territory."
112,12784,ignorance,noun,the state of lacking knowledge or awareness in general.,hypernym,22768,national,noun,a citizen of a particular country.
113,23861,estimate,noun,an approximate calculation or judgement.,hyponym,12870,guess,noun,an estimate or conjecture
114,12788,idea,noun,a thought as to a course of action or an event,hypernym,21655,intention,noun,an aim or plan.
115,12790,discovery,noun,the action or process of discovering or being discovered.,hypernym,17694,act,noun,a thing done.
116,20970,discovery,noun,the act of finding something new to the world or one' s social group,hypernym,17694,act,noun,a thing done.
117,12817,categorization,noun,the act of categorizing,hypernym,22513,arrangement,noun,"the action, process, or result of arranging."
118,12817,categorization,noun,the act of categorizing,hyponym,21721,appraisal,noun,"an assessment of someone or something, especially the performance of an employee."
119,12824,interpretation,noun,explanation; the act or result of interpreting,hypernym,20994,performance,noun,"an act of performing a play, concert, or other form of entertainment."
120,12824,interpretation,noun,explanation; the act or result of interpreting,hypernym,22287,representation,noun,"an image, model, or other depiction of something."
121,12824,interpretation,noun,explanation; the act or result of interpreting,hypernym,13414,explanation,noun,"the act of explaining, making something clear"
122,12824,interpretation,noun,explanation; the act or result of interpreting,hypernym,23748,explanation,noun,a fact that makes a state of affairs understandable
123,12824,interpretation,noun,explanation; the act or result of interpreting,hyponym,18513,construction,noun,the action or process of constructing. 
124,12824,interpretation,noun,explanation; the act or result of interpreting,hyponym,21010,reading,noun,an interpretation or understanding of a word that is considered a separate sense
125,15621,class,noun,a set or category of things having some property in common and differentiated from others by kind or quality,member_meronym,25839,phylum,noun,the taxonomic grouping ranking just below Kingdom; organisms are grouped into phyla based on evolutionary relatedness
126,15621,class,noun,a set or category of things having some property in common and differentiated from others by kind or quality,hyponym,12844,category,noun,Classifications created by shared similarity 
127,16249,class,noun,a category of things having some property in common and different from others by type or quality,member_meronym,25839,phylum,noun,the taxonomic grouping ranking just below Kingdom; organisms are grouped into phyla based on evolutionary relatedness
128,16249,class,noun,a category of things having some property in common and different from others by type or quality,hyponym,12844,category,noun,Classifications created by shared similarity 
129,12847,consideration,noun,careful thought,hypernym,12781,thought,noun,the process or result of thinking
130,12854,meditation,noun,a discourse expressing considered thoughts on a subject,hypernym,13899,therapy,noun,treatment intended to relieve or heal a disorder. 
131,12854,meditation,noun,a discourse expressing considered thoughts on a subject,hypernym,18479,therapy,noun,treatment intended to relieve or heal a disorder. 
132,19246,meditation,noun,a discourse expressing considered thoughts on a subject. ,hypernym,13899,therapy,noun,treatment intended to relieve or heal a disorder. 
133,19246,meditation,noun,a discourse expressing considered thoughts on a subject. ,hypernym,18479,therapy,noun,treatment intended to relieve or heal a disorder. 
134,12851,deliberation,noun,the action or process of engaging in long and careful consideration,hypernym,20453,thoughtfulness,noun,quality of being considerate of others wants or needs
135,19168,deliberation,noun,"the activity of the jury after the presentation of all the evidence and statement in a trial, as they try to decide about the guilt or innocence of the defendant",hypernym,20453,thoughtfulness,noun,quality of being considerate of others wants or needs
136,12859,reflection,noun,serious thought or consideration.,hypernym,14720,image,noun,something that invokes the visual senses
137,12859,reflection,noun,serious thought or consideration.,hypernym,21559,image,noun,the exact likeness (of someone)
138,12859,reflection,noun,serious thought or consideration.,hypernym,24315,image,noun,a physical representation of a visual stimulus
139,12859,reflection,noun,serious thought or consideration.,hypernym,25283,image,noun,an optical pattern resembling an entity
140,12859,reflection,noun,serious thought or consideration.,hypernym,25286,image,noun,An impression that a person has of something or someone
141,13198,expression,noun, the action of expressing something,hypernym,12925,demonstration,noun,To show to be true
142,13198,expression,noun, the action of expressing something,hypernym,19430,demonstration,noun,the action of demonstrating something.
143,24188,expression,noun,the action of expressing something.,hypernym,12925,demonstration,noun,To show to be true
144,24188,expression,noun,the action of expressing something.,hypernym,19430,demonstration,noun,the action of demonstrating something.
145,12867,conclusion,noun,a judgement or decision reached by reasoning,hyponym,21161,destruction,noun,an event of destroying
146,12867,conclusion,noun,a judgement or decision reached by reasoning,hyponym,25085,defeat,noun,an instance of defeating or being defeated
147,12867,conclusion,noun,a judgement or decision reached by reasoning,antonym,23757,beginning,noun,the first part of something.
148,12867,conclusion,noun,a judgement or decision reached by reasoning,hyponym,23756,end,noun,a final part of something.
149,12867,conclusion,noun,a judgement or decision reached by reasoning,hyponym,22307,victory,noun,"an act of defeating an enemy or opponent in a battle, game, or competition."
150,12867,conclusion,noun,a judgement or decision reached by reasoning,hyponym,22312,victor,noun,"a person who defeats an enemy or opponent in a battle, game, or competition"
151,12869,deduction,noun,a conclusion that has been deduced,antonym,25250,addition,noun,the process of combining two numbers
152,12869,deduction,noun,a conclusion that has been deduced,hypernym,15248,decrease,noun,a downward move along some scale
153,12869,deduction,noun,a conclusion that has been deduced,hyponym,22334,bite,noun,a piece cut off by biting.
154,12869,deduction,noun,a conclusion that has been deduced,hypernym,12873,inference,noun,a conclusion reached on the basis of evidence and reasoning.
155,12870,guess,noun,an estimate or conjecture,hypernym,23861,estimate,noun,an approximate calculation or judgement.
156,12873,inference,noun,a conclusion reached on the basis of evidence and reasoning.,hyponym,12869,deduction,noun,a conclusion that has been deduced
157,12873,inference,noun,a conclusion reached on the basis of evidence and reasoning.,hyponym,12775,presumption,noun,an act or instance of presuming something to be the case.
158,12888,discrimination,noun,recognition and understanding of the difference between one thing and another,hyponym,21556,distinction,noun,a marked difference or contrast.
159,12888,discrimination,noun,recognition and understanding of the difference between one thing and another,hyponym,19897,prejudice,noun,preconceived opinion that is not based on reason or actual experience.
160,12888,discrimination,noun,recognition and understanding of the difference between one thing and another,hypernym,25798,control,noun,a subject or group of subjects in an experiment which are left untreated and are then compared with treated subjects in order to validate or invalidate a hypothesis
161,12888,discrimination,noun,recognition and understanding of the difference between one thing and another,hypernym,21588,behavior,noun,the way in which someone behaves
162,12888,discrimination,noun,recognition and understanding of the difference between one thing and another,hypernym,21591,misbehavior,noun,bad behavior
163,22053,argument,noun,a heated exchange of diverging or opposite views.,hyponym,19428,polemic,noun,a strong verbal or written attack. 
164,22053,argument,noun,a heated exchange of diverging or opposite views.,hypernym,15351,conflict,noun,a prolonged armed struggle
165,22053,argument,noun,a heated exchange of diverging or opposite views.,hypernym,15998,attempt,noun,an act of attempting
166,22053,argument,noun,a heated exchange of diverging or opposite views.,hypernym,17550,nation,noun,"a large aggregate of people united by common descent, culture, or language, inhabiting a particular state or territory."
167,22053,argument,noun,a heated exchange of diverging or opposite views.,hypernym,22768,national,noun,a citizen of a particular country.
168,12896,argument,noun,a set of reasons given in support of something.,hyponym,19429,case,noun,a set of facts or arguments supporting one side of a debate or controversy
169,12896,argument,noun,a set of reasons given in support of something.,hyponym,21609,case,noun,a situation which is under investigation by legal authorities to determine if a crime has been comitted and a prosecution is appropriate. 
170,19427,argument,noun,a set of reasons given in support of something,hyponym,19429,case,noun,a set of facts or arguments supporting one side of a debate or controversy
171,19427,argument,noun,a set of reasons given in support of something,hyponym,21609,case,noun,a situation which is under investigation by legal authorities to determine if a crime has been comitted and a prosecution is appropriate. 
172,22053,argument,noun,a heated exchange of diverging or opposite views.,hyponym,19429,case,noun,a set of facts or arguments supporting one side of a debate or controversy
173,22053,argument,noun,a heated exchange of diverging or opposite views.,hyponym,21609,case,noun,a situation which is under investigation by legal authorities to determine if a crime has been comitted and a prosecution is appropriate. 
174,12913,evidence,noun, information indicating whether a belief or proposition is true or valid. ,hyponym,21401,sign,noun,"an object, quality, or event whose presence or occurrence indicates the probable presence, occurrence, or advent of something else"
175,12913,evidence,noun, information indicating whether a belief or proposition is true or valid. ,hyponym,21607,lead,noun,a clue to be followed in the resolution of a problem. 
176,12913,evidence,noun, information indicating whether a belief or proposition is true or valid. ,hypernym,24053,information,noun,facts or knowledge provided or learned as a result of research or study.
177,12913,evidence,noun, information indicating whether a belief or proposition is true or valid. ,hypernym,12913,evidence,noun, information indicating whether a belief or proposition is true or valid. 
178,12913,evidence,noun, information indicating whether a belief or proposition is true or valid. ,hyponym,12913,evidence,noun, information indicating whether a belief or proposition is true or valid. 
179,12925,demonstration,noun,To show to be true,hyponym,20994,performance,noun,"an act of performing a play, concert, or other form of entertainment."
180,19430,demonstration,noun,the action of demonstrating something.,hyponym,20994,performance,noun,"an act of performing a play, concert, or other form of entertainment."
181,25586,demonstration,noun,public display and expression of support of or opposition to an issue.,hyponym,20994,performance,noun,"an act of performing a play, concert, or other form of entertainment."
182,12936,expectation,noun,belief that something will happen or be the case.,hyponym,25033,apprehension,noun,nervousness or trepidation
183,12936,expectation,noun,belief that something will happen or be the case.,hyponym,15951,possibility,noun,the state or fact of being possible
184,12936,expectation,noun,belief that something will happen or be the case.,hyponym,24879,possibility,noun,a thing that is possible; the state or fact of being possible. 
185,12936,expectation,noun,belief that something will happen or be the case.,hypernym,14700,feeling,noun,an emotional state or reaction
186,12937,prediction,noun,a specific idea of what will happen.,hypernym,13409,statement,noun,a definite or clear expression of something in speech or writing 
187,21330,prediction,noun,the act of predicting a future event.,hypernym,13409,statement,noun,a definite or clear expression of something in speech or writing 
188,12943,concoction,noun,the process or result of creating or devising (a story or plan),hypernym,27214,innovation,noun,the action of producing a new idea
189,12944,contrivance,noun,the action of devising or planning something using skill and artifice. ,hypernym,23584,organization,noun,"an organized body of people with a particular purpose, such as a business or government department."
190,15783,gadget,noun,a small mechanical device or tool,hypernym,15779,device,noun,"a thing made or adapted for a particular purpose, especially a mechanical or electronic contrivance"
191,15783,gadget,noun,a small mechanical device or tool,hypernym,15776,tool,noun,"a device or implement, typically hand-held, used to carry out a particular function"
192,12956,design,noun,the art or action of conceiving of and producing a plan or drawing before something is built,hypernym,22873,architect,noun,a person who designs and builds buildings
193,12956,design,noun,the art or action of conceiving of and producing a plan or drawing before something is built,part_meronym,22873,architect,noun,a person who designs and builds buildings
194,12956,design,noun,the art or action of conceiving of and producing a plan or drawing before something is built,hypernym,19647,shape,noun,the external form or appearance of someone or something; the outline of an area or figure.
195,14720,image,noun,something that invokes the visual senses,hyponym,12859,reflection,noun,serious thought or consideration.
196,14720,image,noun,something that invokes the visual senses,hyponym,22287,representation,noun,"an image, model, or other depiction of something."
197,14720,image,noun,something that invokes the visual senses,hypernym,22287,representation,noun,"an image, model, or other depiction of something."
198,14720,image,noun,something that invokes the visual senses,hyponym,24306,photograph,noun,"a picture made with a camera, in which an image is focused on to film and then made visible and permanent by chemical treatment"
199,21559,image,noun,the exact likeness (of someone),hyponym,12859,reflection,noun,serious thought or consideration.
200,21559,image,noun,the exact likeness (of someone),hyponym,22287,representation,noun,"an image, model, or other depiction of something."
201,21559,image,noun,the exact likeness (of someone),hypernym,22287,representation,noun,"an image, model, or other depiction of something."
202,21559,image,noun,the exact likeness (of someone),hyponym,24306,photograph,noun,"a picture made with a camera, in which an image is focused on to film and then made visible and permanent by chemical treatment"
203,24315,image,noun,a physical representation of a visual stimulus,hyponym,12859,reflection,noun,serious thought or consideration.
204,24315,image,noun,a physical representation of a visual stimulus,hyponym,22287,representation,noun,"an image, model, or other depiction of something."
205,24315,image,noun,a physical representation of a visual stimulus,hypernym,22287,representation,noun,"an image, model, or other depiction of something."
206,24315,image,noun,a physical representation of a visual stimulus,hyponym,24306,photograph,noun,"a picture made with a camera, in which an image is focused on to film and then made visible and permanent by chemical treatment"
207,25283,image,noun,an optical pattern resembling an entity,hyponym,12859,reflection,noun,serious thought or consideration.
208,25283,image,noun,an optical pattern resembling an entity,hyponym,22287,representation,noun,"an image, model, or other depiction of something."
209,25283,image,noun,an optical pattern resembling an entity,hypernym,22287,representation,noun,"an image, model, or other depiction of something."
210,25283,image,noun,an optical pattern resembling an entity,hyponym,24306,photograph,noun,"a picture made with a camera, in which an image is focused on to film and then made visible and permanent by chemical treatment"
211,25286,image,noun,An impression that a person has of something or someone,hyponym,12859,reflection,noun,serious thought or consideration.
212,25286,image,noun,An impression that a person has of something or someone,hyponym,22287,representation,noun,"an image, model, or other depiction of something."
213,25286,image,noun,An impression that a person has of something or someone,hypernym,22287,representation,noun,"an image, model, or other depiction of something."
214,25286,image,noun,An impression that a person has of something or someone,hyponym,24306,photograph,noun,"a picture made with a camera, in which an image is focused on to film and then made visible and permanent by chemical treatment"
215,12959,admiration,noun,positive response (emotional or spoken) to the good qualities of someone or something,hypernym,20849,emotion,noun,"a strong feeling, such as joy, anger, or sadness."
216,12964,appreciation,noun,"Perceptive recognition of value, significance or qualities.",hypernym,15243,increase,noun,a move up on a scale
217,12964,appreciation,noun,"Perceptive recognition of value, significance or qualities.",hyponym,13078,sense,noun,a mental recognition of good and bad
218,12964,appreciation,noun,"Perceptive recognition of value, significance or qualities.",hyponym,14712,sense,noun,an awareness of something or feeling that something is the case.
219,12964,appreciation,noun,"Perceptive recognition of value, significance or qualities.",hyponym,20850,sense,noun,a feeling that can be vague or explicit. 
220,12964,appreciation,noun,"Perceptive recognition of value, significance or qualities.",hyponym,21009,sense,noun,  a way in which an expression or situation can be interpreted; a meaning
221,12964,appreciation,noun,"Perceptive recognition of value, significance or qualities.",hypernym,12783,understanding,noun,the ability to understand something; comprehension
222,12965,approbation,noun,approval; praise.,hypernym,21727,approval,noun, the action of approving of something.
223,22415,rap,noun,"the sound of a quick, sharp knock or blow",hypernym,13008,reproach,noun,a feeling of disapproval or disappointment. 
224,12967,blame,noun, responsibility for a fault or wrong.,hypernym,17912,accusation,noun,a charge or claim that someone has done something illegal or wrong.
225,12969,contempt,noun,the feeling that a person or a thing is worthless or beneath consideration,hyponym,16981,sneer,noun,"a contemptuous or mocking smile, remark, or tone (in this frame, only the facial expression.)"
226,12972,damnation,noun,condemnation to eternal punishment in hell,hypernym,15475,state,noun,the condition of someone or something
227,12975,disapproval,noun,the act or state of disapproving,hypernym,13827,dislike,noun,a feeling of aversion or distaste.
228,12975,disapproval,noun,the act or state of disapproving,antonym,21727,approval,noun, the action of approving of something.
229,12975,disapproval,noun,the act or state of disapproving,hyponym,17923,criticism,noun,the expression of disapproval of someone or something based on perceived faults or mistakes.
230,12975,disapproval,noun,the act or state of disapproving,hyponym,17936,disparagement,noun,the action of representing something as low quality.
231,12981,disrespect,noun,lack of respect or courtesy. ,antonym,13005,respect,noun,a feeling of deep admiration for someone elicited by their qualities or achievements.
